frame	x	V
732	493000.27	16000.00
733	493666.94	16000.00
734	494333.61	16000.00
735	495000.27	16000.00
736	495666.94	16000.00
737	496333.61	16000.00
738	497000.27	16000.00
739	497666.94	16000.00
740	498333.61	16000.00
741	499000.27	16000.00
742	499666.94	16000.00
743	500333.61	16000.00
744	501000.27	16000.00
745	501666.94	15987.17
746	502333.07	15948.89
747	502997.61	15885.82
748	503659.52	15799.04
749	504317.81	15690.03
750	504971.56	15560.66
751	505619.92	15413.14
752	506262.14	15250.00
753	506897.56	15074.03
754	507525.64	14888.23
755	508145.98	14695.79
756	508758.31	14500.00
757	509362.47	14304.21
758	509958.48	14111.77
759	510546.47	13925.97
760	511126.72	13750.00
761	511699.64	13586.86
762	512265.76	13439.34
763	512825.73	13309.97
764	513380.31	13200.96
765	513930.35	13114.18
766	514476.78	13051.11
767	515020.57	13012.83
768	515562.77	13000.00
769	516104.44	13012.83
770	516646.64	13051.11
771	517190.44	13114.18
772	517736.86	13200.96
773	518286.90	13309.97
774	518841.48	13439.34
775	519401.46	13586.86
776	519967.58	13750.00
777	520540.49	13925.97
778	521120.74	14111.77
779	521708.73	14304.21
780	522304.74	14500.00
781	522908.91	14695.79
782	523521.23	14888.23
783	524141.58	15074.03
784	524769.66	15250.00
785	525405.08	15413.14
786	526047.29	15560.66
787	526695.65	15690.03
788	527349.40	15799.04
789	528007.70	15885.82
790	528669.61	15948.89
791	529334.14	15987.17
792	530000.27	16000.00
793	530666.94	16000.00
794	531333.61	16000.00
795	532000.27	16000.00
796	532666.94	16000.00
797	533333.61	16000.00
798	534000.27	16000.00
799	534666.94	16000.00
800	535333.61	16000.00
801	536000.27	16000.00
802	536666.94	16000.00
803	537333.61	16000.00
804	538000.27	16000.00
805	538666.94	16000.00
806	539333.61	16000.00
807	540000.27	16000.00
808	540666.94	16000.00
809	541333.61	16000.00
810	542000.27	16000.00
811	542666.94	16000.00
812	543333.61	16000.00
813	544000.27	16000.00
814	544666.94	16000.00
815	545333.61	16000.00
816	546000.27	16000.00
817	546666.94	16000.00
818	547333.61	16000.00
819	548000.27	16000.00
820	548666.94	16000.00
821	549333.61	16000.00
822	550000.27	16000.00
823	550666.94	16000.00
824	551333.61	16000.00
825	552000.27	16000.00
826	552666.94	16000.00
827	553333.61	16000.00
828	554000.27	16000.00
829	554666.94	16000.00
830	555333.61	16000.00
831	556000.27	16000.00
832	556666.94	16000.00
833	557333.61	16000.00
834	558000.27	16000.00
835	558666.94	16000.00
836	559333.61	16000.00
837	560000.27	16000.00
838	560666.94	16000.00
839	561333.61	16000.00
840	562000.27	16000.00
841	562666.94	16000.00
842	563333.61	16000.00
843	564000.27	16000.00
844	564666.94	16000.00
845	565333.61	16000.00
846	566000.27	16000.00
847	566666.94	16000.00
848	567333.61	16000.00
849	568000.27	16000.00
850	568666.94	16000.00
851	569333.61	16000.00
852	570000.27	16000.00
853	570666.94	16000.00
854	571333.61	16000.00
855	572000.27	16000.00
856	572666.94	16000.00
857	573333.61	16000.00
858	574000.27	16000.00
859	574666.94	16000.00
860	575333.61	16000.00
861	576000.27	16000.00
862	576666.94	16000.00
863	577333.61	16000.00
864	578000.27	16000.00
865	578666.94	16000.00
866	579333.61	16000.00
867	580000.27	16000.00
868	580666.94	16000.00
869	581333.61	16000.00
870	582000.27	16000.00
871	582666.94	16000.00
872	583333.61	16000.00
873	584000.27	16000.00
874	584666.94	16000.00
875	585333.61	16000.00
876	586000.27	16000.00
877	586666.94	16000.00
878	587333.61	16000.00
879	588000.27	16000.00
880	588666.94	16000.00
881	589333.61	16000.00
882	590000.27	16000.00
883	590666.94	16000.00
884	591333.61	16000.00
885	592000.27	16000.00
886	592666.94	16000.00
887	593333.61	16000.00
888	594000.27	16000.00
889	594666.94	16000.00
890	595333.61	16000.00
891	596000.27	16000.00
892	596666.94	16000.00
893	597333.61	16000.00
894	598000.27	16000.00
895	598666.94	16000.00
896	599333.61	16000.00
897	600000.27	16000.00
898	600666.94	16000.00
899	601333.61	16000.00
900	602000.27	16000.00
901	602666.94	16000.00
902	603333.61	16000.00
903	604000.27	16000.00
904	604666.94	16000.00
905	605333.61	16000.00
906	606000.27	16000.00
907	606666.94	16000.00
908	607333.61	16000.00
909	608000.27	16000.00
910	608666.94	16000.00
911	609333.61	16000.00
912	610000.27	16000.00
913	610666.94	16000.00
914	611333.61	16000.00
915	612000.27	16000.00
916	612666.94	16000.00
917	613333.61	16000.00
918	614000.27	16000.00
919	614666.94	16000.00
920	615333.61	16000.00
921	616000.27	16000.00
922	616666.94	16000.00
923	617333.61	16000.00
924	618000.27	16000.00
925	618666.94	16000.00
926	619333.61	16000.00
927	620000.27	16000.00
928	620666.94	16000.00
929	621333.61	16000.00
930	622000.27	16000.00
931	622666.94	16000.00
932	623333.61	16000.00
933	624000.27	16000.00
934	624666.94	16000.00
935	625333.61	16000.00
936	626000.27	16000.00
937	626666.94	16007.61
938	627333.92	16030.38
939	628001.86	16068.15
940	628671.36	16120.61
941	629343.06	16187.38
942	630017.53	16267.95
943	630695.36	16361.70
944	631377.10	16467.91
945	632063.26	16585.79
946	632754.34	16714.42
947	633450.77	16852.85
948	634152.97	17000.00
949	634861.31	17154.76
950	635576.09	17315.96
951	636297.59	17482.36
952	637026.02	17652.70
953	637761.55	17825.69
954	638504.28	18000.00
955	639254.28	18174.31
956	640011.55	18347.30
957	640776.02	18517.64
958	641547.59	18684.04
959	642326.09	18845.24
960	643111.31	19000.00
961	643902.97	19147.15
962	644700.77	19285.58
963	645504.34	19414.21
964	646313.26	19532.09
965	647127.10	19638.30
966	647945.36	19732.05
967	648767.53	19812.62
968	649593.06	19879.39
969	650421.36	19931.85
970	651251.86	19969.62
971	652083.92	19992.39
972	652916.94	20000.00
973	653750.27	19992.39
974	654583.29	19969.62
975	655415.36	19931.85
976	656245.85	19879.39
977	657074.16	19812.62
978	657899.68	19732.05
979	658721.85	19638.30
980	659540.12	19532.09
981	660353.95	19414.21
982	661162.88	19285.58
983	661966.44	19147.15
984	662764.24	19000.00
985	663555.91	18845.24
986	664341.13	18684.04
987	665119.63	18517.64
988	665891.20	18347.30
989	666655.67	18174.31
990	667412.93	18000.00
991	668162.93	17825.69
992	668905.67	17652.70
993	669641.20	17482.36
994	670369.63	17315.96
995	671091.13	17154.76
996	671805.91	17000.00
997	672514.24	16852.85
998	673216.44	16714.42
999	673912.88	16585.79
1000	674603.95	16467.91
1001	675290.12	16361.70
1002	675971.85	16267.95
1003	676649.68	16187.38
1004	677324.16	16120.61
1005	677995.85	16068.15
1006	678665.36	16030.38
1007	679333.29	16007.61
1008	680000.27	16000.00
1009	680666.94	16007.61
1010	681333.92	16000.00
1011	682000.59	16000.00
1012	682667.26	16000.00
1013	683333.92	16000.00
1014	684000.59	16000.00
1015	684667.26	16000.00
1016	685333.92	16000.00
1017	686000.59	16000.00
1018	686667.26	16000.00
1019	687333.92	16000.00
1020	688000.59	16000.00
1021	688667.26	16000.00
1022	689333.92	16000.00
1023	690000.59	16000.00
1024	690667.26	16000.00
1025	691333.92	16000.00
1026	692000.59	16000.00
1027	692667.26	16000.00
1028	693333.92	16000.00
1029	694000.59	16000.00
1030	694667.26	16000.00
1031	695333.92	16000.00
1032	696000.59	16000.00
1033	696667.26	16000.00
1034	697333.92	16000.00
1035	698000.59	16000.00
1036	698667.26	16000.00
1037	699333.92	16000.00
1038	700000.59	16000.00
1039	700667.26	16000.00
1040	701333.92	16000.00
1041	702000.59	16000.00
1042	702667.26	16000.00
1043	703333.92	16000.00
1044	704000.59	16000.00
1045	704667.26	16000.00
1046	705333.92	16000.00
1047	706000.59	16000.00
1048	706667.26	16000.00
1049	707333.92	16000.00
1050	708000.59	16000.00
1051	708667.26	16000.00
1052	709333.92	16000.00
1053	710000.59	16000.00
1054	710667.26	16000.00
1055	711333.92	16000.00
1056	712000.59	16000.00
1057	712667.26	16000.00
1058	713333.92	16000.00
1059	714000.59	16000.00
1060	714667.26	16000.00
1061	715333.92	16000.00
1062	716000.59	16000.00
1063	716667.26	16000.00
1064	717333.92	16000.00
1065	718000.59	16000.00
1066	718667.26	16000.00
1067	719333.92	16000.00
1068	720000.59	16000.00
1069	720667.26	16000.00
1070	721333.92	16000.00
1071	722000.59	16000.00
1072	722667.26	16000.00
1073	723333.92	16000.00
1074	724000.59	16000.00
1075	724667.26	16000.00
1076	725333.92	16000.00
1077	726000.59	16000.00
1078	726667.26	16000.00
1079	727333.92	16000.00
1080	728000.59	16000.00
1081	728667.26	16000.00
1082	729333.92	16000.00
1083	730000.59	16000.00
1084	730667.26	16000.00
1085	731333.92	16000.00
1086	732000.59	16000.00
1087	732667.26	16000.00
1088	733333.92	16000.00
1089	734000.59	16000.00
1090	734667.26	16000.00
1091	735333.92	16000.00
1092	736000.59	16000.00
1093	736667.26	16000.00
1094	737333.92	16000.00
1095	738000.59	16000.00
1096	738667.26	16000.00
1097	739333.92	16000.00
1098	740000.59	16000.00
1099	740667.26	16000.00
1100	741333.92	16000.00
1101	742000.59	16000.00
1102	742667.26	16000.00
1103	743333.92	16000.00
1104	744000.59	16000.00
1105	744667.26	16000.00
1106	745333.92	16000.00
1107	746000.59	16000.00
1108	746667.26	16000.00
1109	747333.92	16000.00
1110	748000.59	16000.00
1111	748667.26	16000.00
1112	749333.92	16000.00
1113	750000.59	16000.00
1114	750667.26	16000.00
1115	751333.92	16000.00
1116	752000.59	16000.00
1117	752667.26	16000.00
1118	753333.92	16000.00
1119	754000.59	16000.00
1120	754667.26	16000.00
1121	755333.92	16000.00
1122	756000.59	16000.00
1123	756667.26	16000.00
1124	757333.92	16000.00
1125	758000.59	16000.00
1126	758667.26	16000.00
1127	759333.92	16000.00
1128	760000.59	16000.00
1129	760667.26	16000.00
1130	761333.92	16000.00
1131	762000.59	16000.00
1132	762667.26	16000.00
1133	763333.92	16000.00
1134	764000.59	16000.00
1135	764667.26	16000.00
1136	765333.92	16000.00
1137	766000.59	16000.00
1138	766667.26	16000.00
1139	767333.92	16000.00
1140	768000.59	16000.00
1141	768667.26	16000.00
1142	769333.92	16000.00
1143	770000.59	16000.00
1144	770667.26	16000.00
1145	771333.92	16000.00
1146	772000.59	16000.00
1147	772667.26	16000.00
1148	773333.92	16000.00
1149	774000.59	16000.00
1150	774667.26	16000.00
